county,year,population
Alameda,2010,1512986
Alameda,2011,1530915
Alameda,2012,1553764
Alameda,2013,1579593
Alameda,2014,1607792
Alameda,2015,1634538
Alameda,2016,1650950
Alameda,2017,1660196
Alameda,2018,1666756
Alameda,2019,1671329
Alameda,2020,1679844
Alameda,2021,1648556
Alpine,2010,1161
Alpine,2011,1093
Alpine,2012,1110
Alpine,2013,1128
Alpine,2014,1080
Alpine,2015,1077
Alpine,2016,1047
Alpine,2017,1111
Alpine,2018,1089
Alpine,2019,1129
Alpine,2020,1198
Alpine,2021,1235
Amador,2010,37886
Amador,2011,37543
Amador,2012,37104
Amador,2013,36620
Amador,2014,36726
Amador,2015,37031
Amador,2016,37429
Amador,2017,38529
Amador,2018,39405
Amador,2019,39752
Amador,2020,40541
Amador,2021,41259
Butte,2010,219949
Butte,2011,219975
Butte,2012,220869
Butte,2013,221641
Butte,2014,223516
Butte,2015,224631
Butte,2016,226231
Butte,2017,228696
Butte,2018,230339
Butte,2019,219186
Butte,2020,210083
Butte,2021,208309
Calaveras,2010,45468
Calaveras,2011,45160
Calaveras,2012,44815
Calaveras,2013,44655
Calaveras,2014,44671
Calaveras,2015,44965
Calaveras,2016,45322
Calaveras,2017,45681
Calaveras,2018,45698
Calaveras,2019,45905
Calaveras,2020,45327
Calaveras,2021,46221
Colusa,2010,21437
Colusa,2011,21323
Colusa,2012,21284
Colusa,2013,21250
Colusa,2014,21176
Colusa,2015,21231
Colusa,2016,21496
Colusa,2017,21579
Colusa,2018,21418
Colusa,2019,21547
Colusa,2020,21853
Colusa,2021,21917
Contra Costa,2010,1052540
Contra Costa,2011,1065440
Contra Costa,2012,1077548
Contra Costa,2013,1093401
Contra Costa,2014,1108876
Contra Costa,2015,1124405
Contra Costa,2016,1137268
Contra Costa,2017,1145535
Contra Costa,2018,1150519
Contra Costa,2019,1153526
Contra Costa,2020,1165562
Contra Costa,2021,1161413
Del Norte,2010,28566
Del Norte,2011,28443
Del Norte,2012,28190
Del Norte,2013,27816
Del Norte,2014,27175
Del Norte,2015,27190
Del Norte,2016,27382
Del Norte,2017,27351
Del Norte,2018,27740
Del Norte,2019,27812
Del Norte,2020,27709
Del Norte,2021,28100
El Dorado,2010,181136
El Dorado,2011,180936
El Dorado,2012,180575
El Dorado,2013,181481
El Dorado,2014,183108
El Dorado,2015,184569
El Dorado,2016,185976
El Dorado,2017,188679
El Dorado,2018,190746
El Dorado,2019,192843
El Dorado,2020,191114
El Dorado,2021,193221
Fresno,2010,932039
Fresno,2011,939406
Fresno,2012,945045
Fresno,2013,951514
Fresno,2014,960567
Fresno,2015,969488
Fresno,2016,976830
Fresno,2017,985238
Fresno,2018,991950
Fresno,2019,999101
Fresno,2020,1008966
Fresno,2021,1013581
Glenn,2010,28127
Glenn,2011,28139
Glenn,2012,27851
Glenn,2013,27809
Glenn,2014,27831
Glenn,2015,27753
Glenn,2016,27840
Glenn,2017,27926
Glenn,2018,27967
Glenn,2019,28393
Glenn,2020,28893
Glenn,2021,28805
Humboldt,2010,135009
Humboldt,2011,135243
Humboldt,2012,134572
Humboldt,2013,134403
Humboldt,2014,134494
Humboldt,2015,135102
Humboldt,2016,136290
Humboldt,2017,136507
Humboldt,2018,136244
Humboldt,2019,135558
Humboldt,2020,136351
Humboldt,2021,136310
Imperial,2010,174716
Imperial,2011,175786
Imperial,2012,176575
Imperial,2013,176438
Imperial,2014,177974
Imperial,2015,178937
Imperial,2016,180179
Imperial,2017,181649
Imperial,2018,181523
Imperial,2019,181215
Imperial,2020,179489
Imperial,2021,179851
Inyo,2010,18511
Inyo,2011,18392
Inyo,2012,18351
Inyo,2013,18357
Inyo,2014,18292
Inyo,2015,18108
Inyo,2016,17922
Inyo,2017,17868
Inyo,2018,17946
Inyo,2019,18039
Inyo,2020,19023
Inyo,2021,18970
Kern,2010,840996
Kern,2011,847970
Kern,2012,853606
Kern,2013,862000
Kern,2014,869176
Kern,2015,876031
Kern,2016,880856
Kern,2017,887356
Kern,2018,893758
Kern,2019,900202
Kern,2020,909997
Kern,2021,917673
Kings,2010,152370
Kings,2011,151868
Kings,2012,150991
Kings,2013,150337
Kings,2014,149495
Kings,2015,150085
Kings,2016,149382
Kings,2017,149665
Kings,2018,151382
Kings,2019,152940
Kings,2020,152627
Kings,2021,153443
Lake,2010,64735
Lake,2011,64251
Lake,2012,63954
Lake,2013,63796
Lake,2014,64044
Lake,2015,64260
Lake,2016,63903
Lake,2017,64111
Lake,2018,64317
Lake,2019,64386
Lake,2020,68174
Lake,2021,68766
Lassen,2010,34831
Lassen,2011,34246
Lassen,2012,33629
Lassen,2013,32129
Lassen,2014,31664
Lassen,2015,31256
Lassen,2016,30721
Lassen,2017,30920
Lassen,2018,30618
Lassen,2019,30573
Lassen,2020,32719
Lassen,2021,33159
Los Angeles,2010,9823246
Los Angeles,2011,9876482
Los Angeles,2012,9935375
Los Angeles,2013,9992484
Los Angeles,2014,10040072
Los Angeles,2015,10085416
Los Angeles,2016,10105708
Los Angeles,2017,10103711
Los Angeles,2018,10073906
Los Angeles,2019,10039107
Los Angeles,2020,9989165
Los Angeles,2021,9829544
Madera,2010,150986
Madera,2011,151675
Madera,2012,151527
Madera,2013,151370
Madera,2014,153456
Madera,2015,153576
Madera,2016,153956
Madera,2017,155423
Madera,2018,156882
Madera,2019,157327
Madera,2020,156620
Madera,2021,159410
Marin,2010,252904
Marin,2011,255376
Marin,2012,256061
Marin,2013,258409
Marin,2014,260359
Marin,2015,260916
Marin,2016,260562
Marin,2017,259749
Marin,2018,259662
Marin,2019,258826
Marin,2020,261776
Marin,2021,260206
Mariposa,2010,18277
Mariposa,2011,18170
Mariposa,2012,17881
Mariposa,2013,17809
Mariposa,2014,17714
Mariposa,2015,17622
Mariposa,2016,17456
Mariposa,2017,17414
Mariposa,2018,17405
Mariposa,2019,17203
Mariposa,2020,17124
Mariposa,2021,17147
Mendocino,2010,87799
Mendocino,2011,87334
Mendocino,2012,87288
Mendocino,2013,87054
Mendocino,2014,87225
Mendocino,2015,87107
Mendocino,2016,87285
Mendocino,2017,87576
Mendocino,2018,87401
Mendocino,2019,86749
Mendocino,2020,91354
Mendocino,2021,91305
Merced,2010,256721
Merced,2011,259297
Merced,2012,260867
Merced,2013,262026
Merced,2014,264419
Merced,2015,266353
Merced,2016,267628
Merced,2017,271096
Merced,2018,274151
Merced,2019,277680
Merced,2020,281726
Merced,2021,286461
Modoc,2010,9694
Modoc,2011,9509
Modoc,2012,9351
Modoc,2013,9145
Modoc,2014,9068
Modoc,2015,9056
Modoc,2016,8961
Modoc,2017,8876
Modoc,2018,8800
Modoc,2019,8841
Modoc,2020,8658
Modoc,2021,8661
Mono,2010,14257
Mono,2011,14422
Mono,2012,14331
Mono,2013,14067
Mono,2014,14134
Mono,2015,14077
Mono,2016,14273
Mono,2017,14354
Mono,2018,14403
Mono,2019,14444
Mono,2020,13206
Mono,2021,13247
Monterey,2010,416373
Monterey,2011,420456
Monterey,2012,424788
Monterey,2013,426712
Monterey,2014,428475
Monterey,2015,430552
Monterey,2016,433953
Monterey,2017,434534
Monterey,2018,433950
Monterey,2019,434061
Monterey,2020,438500
Monterey,2021,437325
Napa,2010,136759
Napa,2011,137691
Napa,2012,138538
Napa,2013,139580
Napa,2014,140405
Napa,2015,140862
Napa,2016,140840
Napa,2017,139878
Napa,2018,138789
Napa,2019,137744
Napa,2020,137608
Napa,2021,136207
Nevada,2010,98790
Nevada,2011,98701
Nevada,2012,98137
Nevada,2013,97938
Nevada,2014,98572
Nevada,2015,98676
Nevada,2016,98913
Nevada,2017,99367
Nevada,2018,99508
Nevada,2019,99755
Nevada,2020,102199
Nevada,2021,103487
Orange,2010,3015171
Orange,2011,3049271
Orange,2012,3078068
Orange,2013,3104950
Orange,2014,3126537
Orange,2015,3149280
Orange,2016,3164986
Orange,2017,3174289
Orange,2018,3175973
Orange,2019,3175692
Orange,2020,3184101
Orange,2021,3167809
Placer,2010,350021
Placer,2011,356328
Placer,2012,360263
Placer,2013,365398
Placer,2014,369217
Placer,2015,372841
Placer,2016,378943
Placer,2017,385115
Placer,2018,392330
Placer,2019,398329
Placer,2020,405741
Placer,2021,412300
Plumas,2010,19914
Plumas,2011,19719
Plumas,2012,19377
Plumas,2013,18895
Plumas,2014,18622
Plumas,2015,18427
Plumas,2016,18665
Plumas,2017,18660
Plumas,2018,18741
Plumas,2019,18807
Plumas,2020,19769
Plumas,2021,19915
Riverside,2010,2201576
Riverside,2011,2234070
Riverside,2012,2261204
Riverside,2013,2286755
Riverside,2014,2316162
Riverside,2015,2345816
Riverside,2016,2380081
Riverside,2017,2414964
Riverside,2018,2445789
Riverside,2019,2470546
Riverside,2020,2422764
Riverside,2021,2458395
Sacramento,2010,1421383
Sacramento,2011,1433730
Sacramento,2012,1444852
Sacramento,2013,1457341
Sacramento,2014,1474917
Sacramento,2015,1493674
Sacramento,2016,1510987
Sacramento,2017,1527301
Sacramento,2018,1538746
Sacramento,2019,1552058
Sacramento,2020,1586241
Sacramento,2021,1588921
San Benito,2010,55516
San Benito,2011,55977
San Benito,2012,56599
San Benito,2013,57239
San Benito,2014,57825
San Benito,2015,58216
San Benito,2016,59225
San Benito,2017,60164
San Benito,2018,61467
San Benito,2019,62808
San Benito,2020,64507
San Benito,2021,66677
San Bernardino,2010,2040848
San Bernardino,2011,2060827
San Bernardino,2012,2073512
San Bernardino,2013,2082738
San Bernardino,2014,2099181
San Bernardino,2015,2115411
San Bernardino,2016,2131960
San Bernardino,2017,2150945
San Bernardino,2018,2166753
San Bernardino,2019,2180085
San Bernardino,2020,2182740
San Bernardino,2021,2194710
San Diego,2010,3103212
San Diego,2011,3137156
San Diego,2012,3174335
San Diego,2013,3209768
San Diego,2014,3248877
San Diego,2015,3280850
San Diego,2016,3306089
San Diego,2017,3321237
San Diego,2018,3333861
San Diego,2019,3338330
San Diego,2020,3297252
San Diego,2021,3286069
San Francisco,2010,805505
San Francisco,2011,815650
San Francisco,2012,828876
San Francisco,2013,839572
San Francisco,2014,850750
San Francisco,2015,863010
San Francisco,2016,871512
San Francisco,2017,878040
San Francisco,2018,880696
San Francisco,2019,881549
San Francisco,2020,870014
San Francisco,2021,815201
San Joaquin,2010,687127
San Joaquin,2011,694354
San Joaquin,2012,699593
San Joaquin,2013,702046
San Joaquin,2014,711579
San Joaquin,2015,722271
San Joaquin,2016,732809
San Joaquin,2017,743296
San Joaquin,2018,752491
San Joaquin,2019,762148
San Joaquin,2020,780517
San Joaquin,2021,789410
San Luis Obispo,2010,269802
San Luis Obispo,2011,271058
San Luis Obispo,2012,274160
San Luis Obispo,2013,275696
San Luis Obispo,2014,278227
San Luis Obispo,2015,280077
San Luis Obispo,2016,281803
San Luis Obispo,2017,282481
San Luis Obispo,2018,283354
San Luis Obispo,2019,283111
San Luis Obispo,2020,282231
San Luis Obispo,2021,283159
San Mateo,2010,719699
San Mateo,2011,728344
San Mateo,2012,739224
San Mateo,2013,748661
San Mateo,2014,757204
San Mateo,2015,765055
San Mateo,2016,767906
San Mateo,2017,768901
San Mateo,2018,768681
San Mateo,2019,766573
San Mateo,2020,762453
San Mateo,2021,737888
Santa Barbara,2010,424231
Santa Barbara,2011,425453
Santa Barbara,2012,429699
Santa Barbara,2013,434601
Santa Barbara,2014,439045
Santa Barbara,2015,442229
Santa Barbara,2016,444340
Santa Barbara,2017,445298
Santa Barbara,2018,445780
Santa Barbara,2019,446499
Santa Barbara,2020,448096
Santa Barbara,2021,446475
Santa Clara,2010,1786040
Santa Clara,2011,1812054
Santa Clara,2012,1837853
Santa Clara,2013,1866425
Santa Clara,2014,1891753
Santa Clara,2015,1916285
Santa Clara,2016,1928368
Santa Clara,2017,1932510
Santa Clara,2018,1932337
Santa Clara,2019,1927852
Santa Clara,2020,1930598
Santa Clara,2021,1885508
Santa Cruz,2010,263147
Santa Cruz,2011,264858
Santa Cruz,2012,266340
Santa Cruz,2013,268816
Santa Cruz,2014,270861
Santa Cruz,2015,273503
Santa Cruz,2016,274396
Santa Cruz,2017,274856
Santa Cruz,2018,273841
Santa Cruz,2019,273213
Santa Cruz,2020,270353
Santa Cruz,2021,267792
Shasta,2010,177274
Shasta,2011,177588
Shasta,2012,177875
Shasta,2013,178397
Shasta,2014,178844
Shasta,2015,178314
Shasta,2016,178571
Shasta,2017,179384
Shasta,2018,179709
Shasta,2019,180080
Shasta,2020,181893
Shasta,2021,182139
Sierra,2010,3220
Sierra,2011,3098
Sierra,2012,3067
Sierra,2013,3028
Sierra,2014,2972
Sierra,2015,2985
Sierra,2016,2951
Sierra,2017,3002
Sierra,2018,2997
Sierra,2019,3005
Sierra,2020,3228
Sierra,2021,3283
Siskiyou,2010,44938
Siskiyou,2011,44615
Siskiyou,2012,44079
Siskiyou,2013,43532
Siskiyou,2014,43338
Siskiyou,2015,43254
Siskiyou,2016,43376
Siskiyou,2017,43622
Siskiyou,2018,43550
Siskiyou,2019,43539
Siskiyou,2020,43962
Siskiyou,2021,44118
Solano,2010,413967
Solano,2011,416342
Solano,2012,419674
Solano,2013,423659
Solano,2014,429006
Solano,2015,433409
Solano,2016,438858
Solano,2017,443511
Solano,2018,445725
Solano,2019,447643
Solano,2020,453274
Solano,2021,451716
Sonoma,2010,484755
Sonoma,2011,487421
Sonoma,2012,489993
Sonoma,2013,494073
Sonoma,2014,498560
Sonoma,2015,500863
Sonoma,2016,502547
Sonoma,2017,502469
Sonoma,2018,498643
Sonoma,2019,494336
Sonoma,2020,488345
Sonoma,2021,485887
Stanislaus,2010,515145
Stanislaus,2011,517560
Stanislaus,2012,520424
Stanislaus,2013,523451
Stanislaus,2014,528015
Stanislaus,2015,533211
Stanislaus,2016,539255
Stanislaus,2017,544717
Stanislaus,2018,548126
Stanislaus,2019,550660
Stanislaus,2020,552710
Stanislaus,2021,552999
Sutter,2010,94751
Sutter,2011,94482
Sutter,2012,94189
Sutter,2013,94507
Sutter,2014,94778
Sutter,2015,95282
Sutter,2016,95742
Sutter,2017,96204
Sutter,2018,96348
Sutter,2019,96971
Sutter,2020,99480
Sutter,2021,99063
Tehama,2010,63559
Tehama,2011,63331
Tehama,2012,63212
Tehama,2013,62875
Tehama,2014,62801
Tehama,2015,63158
Tehama,2016,63453
Tehama,2017,63847
Tehama,2018,64018
Tehama,2019,65084
Tehama,2020,65615
Tehama,2021,65498
Trinity,2010,13755
Trinity,2011,13685
Trinity,2012,13489
Trinity,2013,13427
Trinity,2014,13128
Trinity,2015,13094
Trinity,2016,12828
Trinity,2017,12726
Trinity,2018,12567
Trinity,2019,12285
Trinity,2020,16088
Trinity,2021,16060
Tulare,2010,442969
Tulare,2011,446784
Tulare,2012,449779
Tulare,2013,452460
Tulare,2014,455138
Tulare,2015,457161
Tulare,2016,459235
Tulare,2017,462308
Tulare,2018,464589
Tulare,2019,466195
Tulare,2020,473736
Tulare,2021,477054
Tuolumne,2010,55190
Tuolumne,2011,54830
Tuolumne,2012,54221
Tuolumne,2013,53997
Tuolumne,2014,53851
Tuolumne,2015,53615
Tuolumne,2016,53770
Tuolumne,2017,53976
Tuolumne,2018,54387
Tuolumne,2019,54478
Tuolumne,2020,55516
Tuolumne,2021,55810
Ventura,2010,825097
Ventura,2011,830099
Ventura,2012,833516
Ventura,2013,838136
Ventura,2014,842297
Ventura,2015,845802
Ventura,2016,847323
Ventura,2017,849044
Ventura,2018,848142
Ventura,2019,846006
Ventura,2020,842921
Ventura,2021,839784
Yolo,2010,201073
Yolo,2011,201954
Yolo,2012,204576
Yolo,2013,206292
Yolo,2014,208398
Yolo,2015,212037
Yolo,2016,215627
Yolo,2017,218477
Yolo,2018,220118
Yolo,2019,220500
Yolo,2020,216255
Yolo,2021,216986
Yuba,2010,72348
Yuba,2011,72489
Yuba,2012,72774
Yuba,2013,73090
Yuba,2014,73533
Yuba,2015,74045
Yuba,2016,74952
Yuba,2017,76578
Yuba,2018,77557
Yuba,2019,78668
Yuba,2020,81932
Yuba,2021,83421